BR_UF2004,POP_ESTIMADA
Brasil,212583750
Norte,18669345
Rondônia,1746227
Acre,880631
Amazonas,4281209
Roraima,716793
Pará,8664306
Amapá,802837
Tocantins,1577342
Nordeste,57112096
Maranhão,7010960
Piauí,3375646
Ceará,9233656
Rio Grande do Norte,3446071
Paraíba,4145040
Pernambuco,9539029
Alagoas,3220104
Sergipe,2291077
Bahia,14850513
Sudeste,88617693
Minas Gerais,21322691
Espírito Santo,4102129
Rio de Janeiro,17219679
São Paulo,45973194
Sul,31113021
Paraná,11824665
Santa Catarina,8058441
Rio Grande do Sul,11229915
Centro-Oeste,17071595
Mato Grosso do Sul,2901895
Mato Grosso,3836399
Goiás,7350483
Distrito Federal,2982818
